label,x,y
wc0,22.187016,-7.3777127
wc0,21.697453,-8.922717
wc0,21.387024,-8.681877
wc0,23.000471,-8.882961
wc0,22.160477,-9.321398
wc0,22.841957,-9.189232
wc0,21.348938,-6.9993567
wc0,23.657715,-7.968652
wc0,22.586338,-9.662391
wc0,20.367342,-8.493982
wc0,20.363712,-8.499596
wc0,23.383503,-6.266758
wc0,21.855438,-5.99701
wc0,20.531855,-9.252973
wc0,21.908539,-5.902208
wc0,22.052553,-10.1403
wc0,20.696203,-9.805931
wc0,24.504236,-8.122993
wc0,24.410023,-7.059093
wc0,21.947601,-10.390769
wc0,22.040316,-5.387093
wc0,23.64119,-10.07945
wc0,22.965303,-5.3209634
wc0,20.088993,-9.784235
wc0,20.87574,-10.652203
wc0,19.369043,-8.551199
wc0,24.906025,-6.273893
wc0,23.944382,-5.257809
wc0,19.19976,-8.977086
wc0,22.521118,-11.317516
wc0,18.861803,-8.712485
wc0,18.831264,-8.725044
wc0,18.842829,-7.6633563
wc0,23.108398,-4.481635
wc0,21.633465,-4.446426
wc0,25.705563,-6.6935377
wc0,18.651125,-7.7382207
wc0,24.786423,-5.198014
wc0,23.35547,-11.504535
wc0,25.91976,-8.413355
wc0,21.954275,-4.1682463
wc0,21.720245,-4.1725025
wc0,19.791332,-5.140217
wc0,20.462818,-11.790018
wc0,19.60875,-11.2966795
wc0,21.156868,-4.008997
wc0,26.38568,-6.6578765
wc0,18.119888,-6.7572293
wc0,23.851913,-3.759346
wc0,20.266142,-4.0755177
wc0,26.687044,-8.312534
wc0,17.838026,-9.000847
wc0,18.615696,-10.8882675
wc0,18.719925,-5.373555
wc0,18.610783,-10.900722
wc0,26.915878,-8.162534
wc0,25.89602,-4.8168974
wc0,25.341585,-4.2342615
wc0,25.401844,-4.279018
wc0,26.983814,-6.716894
wc0,24.68626,-12.158408
wc0,26.802794,-9.710567
wc0,19.688507,-12.51876
wc0,22.777094,-2.9404585
wc0,22.031395,-2.941129
wc0,21.560417,-2.9879467
wc0,27.268505,-8.226658
wc0,22.794945,-13.122967
wc0,20.68571,-13.039716
wc0,24.066282,-3.0048094
wc0,26.997217,-5.560263
wc0,27.4621,-7.0825067
wc0,17.201845,-9.724199
wc0,17.341558,-6.321366
wc0,18.18222,-4.787028
wc0,17.43355,-5.929717
wc0,27.539923,-8.746203
wc0,24.2979,-12.999335
wc0,24.365229,-2.868623
wc0,26.376226,-4.202167
wc0,26.68194,-4.529592
wc0,18.671284,-12.448488
wc0,24.042654,-13.242422
wc0,17.318636,-10.822635
wc0,25.136992,-3.0654132
wc0,26.519358,-4.13417
wc0,19.193563,-12.970989
wc0,25.22789,-2.9878309
wc0,27.921791,-7.0739064
wc0,17.383284,-11.437718
wc0,16.53957,-7.388327
wc0,18.065933,-4.111421
wc0,17.667654,-11.922147
wc0,17.14054,-11.209065
wc0,20.076803,-2.5454261
wc0,27.708033,-9.98324
wc0,16.424171,-7.1964464
wc0,22.04772,-14.310796
wc0,28.307402,-6.644482
wc0,24.888885,-13.5567255
wc0,21.822973,-1.8002839
wc0,18.758652,-2.979056
wc0,27.906593,-5.119924
wc0,24.955265,-13.614228
wc0,17.763432,-3.635698
wc0,26.291374,-12.824883
wc0,16.766212,-4.9055614
wc0,16.010595,-6.7512674
wc0,17.478386,-3.8733065
wc0,26.739923,-3.207894
wc0,26.290743,-12.897043
wc0,28.15893,-5.1099043
wc0,17.444822,-3.7751927
wc0,23.576801,-1.5484508
wc0,28.308962,-5.2789946
wc0,28.283924,-5.1912236
wc0,20.682838,-14.617261
wc0,22.66053,-1.392506
wc0,28.604439,-9.503137
wc0,25.974228,-2.3945625
wc0,18.808174,-2.265615
wc0,28.517345,-10.339948
wc0,25.229267,-14.119248
wc0,27.490519,-12.136448
wc0,26.180122,-2.277783
wc0,24.75528,-1.50038
wc0,19.824402,-1.5865062
wc0,15.298947,-7.6980977
wc0,19.59762,-14.754807
wc0,21.458694,-15.199685
wc0,20.822952,-1.1167991
wc0,28.141718,-3.9653816
wc0,29.029902,-9.696657
wc0,26.47917,-2.191678
wc0,22.678646,-15.249216
wc0,29.015686,-9.784581
wc0,27.332306,-2.8978434
wc0,16.828016,-12.992079
wc0,21.080963,-15.316316
wc0,27.783543,-12.315374
wc0,29.285643,-6.2166643
wc0,29.130537,-9.946268
wc0,25.272366,-1.2860154
wc0,21.064688,-0.7804776
wc0,17.187057,-2.8892024
wc0,15.045418,-6.8845773
wc0,25.674555,-14.508208
wc0,28.784906,-4.301129
wc0,19.134827,-1.3023393
wc0,15.017708,-10.3275385
wc0,16.475946,-13.19221
wc0,15.3358965,-5.2671075
wc0,25.565174,-1.1321617
wc0,29.333075,-10.338352
wc0,21.894058,-0.4196404
wc0,15.033165,-10.841833
wc0,20.304094,-0.6267498
wc0,20.105497,-15.673922
wc0,29.860832,-7.2720222
wc0,25.628317,-1.0267055
wc0,15.238051,-11.635096
wc0,23.723,-0.34346578
wc0,23.749306,-15.762854
wc0,24.252422,-0.44308373
wc0,29.259262,-4.238822
wc0,27.476294,-13.787969
wc0,20.60375,-0.038483582
wc0,14.263862,-6.345061
wc0,23.955706,-16.195995
wc0,24.354433,-16.081327
wc0,30.377464,-6.688281
wc0,30.438797,-6.618139
wc0,18.488386,-15.816786
wc0,13.990446,-9.759904
wc0,29.48307,-3.6210299
wc0,19.736311,-0.0195302
wc0,29.13114,-12.525898
wc0,30.614058,-7.669868
wc0,21.232265,-16.700605
wc0,14.252312,-11.316772
wc0,26.007969,-15.607582
wc0,29.33182,-12.387345
wc0,30.401253,-5.2953796
wc0,17.778131,-0.68824786
wc0,15.822843,-14.334264
wc0,20.745953,-16.923346
wc0,13.583755,-9.9025345
wc0,13.530351,-7.0714746
wc0,22.435549,0.79922926
wc0,14.271141,-4.339547
wc0,30.962105,-9.336597
wc0,13.48152,-6.4453244
wc0,30.673542,-10.651768
wc0,31.1755,-7.1722865
wc0,14.119962,-4.2651715
wc0,17.993843,-16.466208
wc0,25.057686,-16.75654
wc0,19.438868,0.5903745
wc0,15.355835,-14.469823
wc0,24.110437,0.93703103
wc0,30.443165,-11.818221
wc0,18.1784,-16.755926
wc0,18.640265,0.49559596
wc0,16.960487,-0.47542864
wc0,27.322165,-0.15240076
wc0,23.514656,-17.49067
wc0,30.995344,-4.555653
wc0,30.229757,-2.8856995
wc0,30.144066,-2.6542854
wc0,26.432684,0.5663347
wc0,27.581667,-15.792345
wc0,28.561573,-0.7838765
wc0,12.612287,-8.543891
wc0,19.505926,1.1567256
wc0,31.702887,-9.017671
wc0,30.233168,-2.5031412
wc0,17.612886,0.36495942
wc0,14.203364,-13.977597
wc0,23.68497,1.5803325
wc0,15.984675,-15.928986
wc0,12.806648,-10.919467
wc0,25.727785,-17.155302
wc0,17.834234,0.5533444
wc0,15.912359,-0.784572
wc0,27.757168,-15.949473
wc0,22.756826,1.7562752
wc0,31.27228,-4.2286587
wc0,14.337917,-14.450171
wc0,12.213213,-7.805587
wc0,23.011948,-18.282759
wc0,18.904398,-17.934462
wc0,12.769303,-4.843961
wc0,29.584923,-1.0598166
wc0,18.969402,-17.988344
wc0,18.933514,1.4605286
wc0,14.051617,-2.3615987
wc0,14.012966,-2.4051192
wc0,12.076389,-7.7751713
wc0,24.495647,-18.071947
wc0,26.218437,-17.451082
wc0,31.550154,-11.737903
wc0,16.743938,0.46962172
wc0,32.124043,-5.305557
wc0,23.813951,-18.447044
wc0,32.494965,-8.059608
wc0,32.32727,-9.660406
wc0,31.460197,-12.286478
wc0,17.95996,-17.957289
wc0,24.524706,-18.35111
wc0,21.711618,-18.785858
wc0,31.250036,-2.581147
wc0,16.489056,0.6147267
wc0,26.637735,1.5337706
wc0,13.642318,-14.703615
wc0,26.303745,-17.783188
wc0,24.682758,-18.43811
wc0,30.370014,-1.0931998
wc0,32.809322,-7.6641207
wc0,31.421038,-2.5084062
wc0,23.930058,2.564127
wc0,31.385202,-13.191505
wc0,31.094107,-1.8935128
wc0,32.407394,-11.02276
wc0,23.733934,2.66113
wc0,17.136415,-18.061134
wc0,30.49988,-0.99231374
wc0,26.164724,-18.19138
wc0,16.459354,-17.729715
wc0,20.831114,2.7638254
wc0,12.798118,-14.118436
wc0,24.043697,2.7713158
wc0,32.568386,-4.449454
wc0,13.096389,-14.751442
wc0,29.171122,0.52850765
wc0,13.24135,-1.9514271
wc0,14.710437,-16.667553
wc0,23.238127,2.9655783
wc0,32.489635,-3.8468707
wc0,33.139847,-9.241803
wc0,11.028521,-7.97678
wc0,19.649654,2.8409355
wc0,12.412333,-2.9083881
wc0,10.91505,-8.438726
wc0,29.034988,-16.776365
wc0,10.894183,-8.710106
wc0,21.102118,3.1696985
wc0,21.072458,3.2076914
wc0,26.901464,-18.334484
wc0,33.40028,-8.889137
wc0,19.155052,-19.398796
wc0,14.437197,-16.891245
wc0,21.96003,-19.718723
wc0,24.209307,-19.442299
wc0,27.385881,-18.169525
wc0,10.958061,-10.813456
wc0,31.499159,-14.316275
wc0,22.690535,-19.771055
wc0,14.161094,-16.842937
wc0,33.60999,-8.641494
wc0,20.298601,3.3165076
wc1,-4.9399347,3.88444
wc1,-5.126939,3.9271307
wc1,-5.1508703,4.2729626
wc1,-3.9928286,4.7960157
wc1,-3.4477954,4.663555
wc1,-4.0468116,5.302515
wc1,-3.5729756,1.7300801
wc1,-4.660197,1.3152866
wc1,-2.5802023,1.8837727
wc1,-2.4742634,5.265588
wc1,-6.6470513,5.129338
wc1,-2.364769,5.5981994
wc1,-6.9579167,1.9255583
wc1,-1.475559,4.302703
wc1,-7.669981,4.5344367
wc1,-4.3635345,0.32049954
wc1,-6.456585,0.35256997
wc1,-0.51801157,2.7151678
wc1,-2.2756345,6.9575653
wc1,-0.7252964,1.6341712
wc1,-1.6487832,6.660072
wc1,-2.2128055,7.0338984
wc1,-4.457726,-0.6166132
wc1,-3.695061,-0.7318684
wc1,0.3767568,4.065521
wc1,-7.2014403,-0.29576433
wc1,-5.58192,7.779375
wc1,-9.230532,4.8204117
wc1,-8.110317,0.027685665
wc1,-8.871448,0.63530487
wc1,-9.810649,2.682807
wc1,-0.16417363,0.70401156
wc1,-2.2570248,-0.87856185
wc1,-9.942872,3.494877
wc1,-2.5394714,-1.06615
wc1,-2.1940963,8.134661
wc1,1.0510767,3.887831
wc1,0.9016996,5.1692204
wc1,-6.323504,-1.3632668
wc1,-0.67655337,-0.32593933
wc1,-1.1362839,7.933695
wc1,-10.191767,4.430272
wc1,-3.6342342,-1.6284509
wc1,-7.833292,7.6263714
wc1,-10.185862,4.626118
wc1,-10.148614,1.8826859
wc1,-1.2242974,-0.83582175
wc1,-0.3399372,-0.19976556
wc1,-1.1804699,8.189306
wc1,-10.472168,4.162384
wc1,-10.520377,2.3056605
wc1,0.7112068,0.692319
wc1,-10.439206,1.7384732
wc1,-6.038745,9.114368
wc1,-0.8451185,8.533173
wc1,1.2419367,6.5509686
wc1,-4.811302,-2.3629887
wc1,-8.000873,-1.5548251
wc1,2.1404264,2.696533
wc1,2.075942,5.207015
wc1,-6.970597,-2.227047
wc1,-5.176741,9.71902
wc1,1.7510742,1.0625238
wc1,1.884236,6.323193
wc1,2.4568858,4.6461124
wc1,2.5119479,3.1022687
wc1,-11.5779505,4.4733953
wc1,-0.641789,9.368866
wc1,-5.263694,-3.0530894
wc1,-8.744641,-2.09525
wc1,-9.411418,-1.823676
wc1,-9.692305,-1.6641212
wc1,-0.5483422,-2.2984045
wc1,-8.801923,-2.2841165
wc1,1.8053343,7.7179747
wc1,-5.7997603,-3.33802
wc1,-9.758615,-1.7505523
wc1,1.6298033,-0.69362766
wc1,-10.131197,-1.5399685
wc1,-11.51814,0.08732489
wc1,3.3082821,4.484764
wc1,2.9233887,6.243527
wc1,2.751078,0.5645719
wc1,1.5253918,-1.2830168
wc1,-10.202728,-1.9929681
wc1,-11.39156,-0.75913835
wc1,2.526353,-0.2689462
wc1,0.24432871,-2.5384045
wc1,-5.523725,-3.9903085
wc1,-10.901139,-1.6948309
wc1,-6.9046416,10.988295
wc1,3.9485009,5.509045
wc1,-13.312032,3.7159238
wc1,-13.31488,4.6914806
wc1,-11.817971,-1.228289
wc1,2.025466,-1.7858324
wc1,-13.57363,2.3353372
wc1,1.7665323,-2.2355165
wc1,-11.893305,-1.4062293
wc1,-12.7881975,7.0839877
wc1,0.548056,10.983087
wc1,-4.706782,-4.9382687
wc1,-14.140943,5.36781
wc1,-9.597236,-4.0769396
wc1,0.85633576,11.385148
wc1,-10.171805,-3.924155
wc1,-0.103996314,-4.499327
wc1,-4.3057513,12.875229
wc1,5.461632,5.283384
wc1,-14.518814,0.89285195
wc1,-14.561218,0.958092
wc1,-11.486492,10.60759
wc1,-12.239309,-2.8642929
wc1,-3.1380887,13.297716
wc1,2.9855874,-2.93113
wc1,5.6319256,1.6522067
wc1,-2.0957663,-5.749838
wc1,-3.0540583,13.549629
wc1,-13.686958,9.007542
wc1,4.8463078,-0.9921086
wc1,-7.046345,-6.12736
wc1,-13.655017,-2.3098345
wc1,-10.262628,-5.118423
wc1,-14.570368,8.501278
wc1,-15.31785,6.9942975
wc1,-3.2420037,-6.603178
wc1,3.2630274,-3.7469492
wc1,4.6677823,-2.3616638
wc1,5.2664347,-1.7516221
wc1,6.7960153,2.1269333
wc1,-0.46103638,13.940523
wc1,6.7233477,6.4947724
wc1,-0.7987054,14.096971
wc1,-3.2283163,-6.933996
wc1,5.2393785,-1.9946369
wc1,-12.462535,11.660215
wc1,6.216273,8.398051
wc1,-13.779861,10.539091
wc1,7.0162635,6.054738
wc1,-14.725397,9.615664
wc1,6.6593475,0.21015461
wc1,7.3251543,3.0902078
wc1,-4.4062805,14.880542
wc1,-0.85684764,14.66881
wc1,-15.6748,8.777722
wc1,-17.027851,3.2311327
wc1,2.2363696,-5.653317
wc1,0.9754803,-6.3705993
wc1,-15.678652,9.19767
wc1,6.323748,9.610333
wc1,-0.60915554,-7.1539435
wc1,6.2921505,-1.8018411
wc1,-15.34201,-2.4881437
wc1,-17.021976,0.8970146
wc1,7.263018,8.13668
wc1,7.1526985,-0.3698201
wc1,0.30527824,-7.144911
wc1,-8.2203865,15.028541
wc1,-6.1977353,-7.99505
wc1,-1.1402841,15.411919
wc1,-15.757491,9.907478
wc1,-10.01811,-7.187179
wc1,-12.170028,13.498399
wc1,5.3779182,-3.952804
wc1,0.24393491,15.354709
wc1,-17.446613,0.12849307
wc1,3.0330856,-6.1825924
wc1,-9.106293,-7.8907166
wc1,-18.027472,6.155816
wc1,7.615388,-1.060439
wc1,-0.6748458,-8.097705
wc1,-13.949696,12.701804
wc1,3.7174594,-5.9495687
wc1,7.6444187,9.451832
wc1,0.5410239,-7.7605653
wc1,0.4413992,15.685049
wc1,4.4837184,13.533703
wc1,8.911247,6.408838
wc1,-10.635197,-7.7349725
wc1,2.5555427,-7.2033534
wc1,9.269064,4.457421
wc1,2.1506734,-7.463948
wc1,2.5936537,15.189585
wc1,-17.44105,9.532537
wc1,4.45608,-6.039159
wc1,0.3892796,16.298674
wc1,-16.22546,11.345092
wc1,9.403114,2.8377056
wc1,-17.579456,9.50291
wc1,9.53834,5.021743
wc1,-18.269545,8.245291
wc1,-9.017084,-8.755867
wc1,6.1885943,12.876981
wc1,8.537297,9.533225
wc1,-18.695599,0.10299451
wc1,-17.458788,10.10957
wc1,4.6545534,14.371549
wc1,5.5398855,13.668111
wc1,8.641509,9.586331
wc1,-10.531442,15.937975
wc1,-1.1009444,17.081858
wc1,9.392984,7.7960896
wc1,9.194479,0.08017313
wc1,4.691856,-6.6961913
wc1,3.6151931,15.553128
wc1,2.734356,16.04635
wc1,8.425724,-2.2945127
wc1,4.8424044,14.760932
wc1,0.73849887,16.920553
wc1,1.4089469,16.74529
wc1,4.6330957,-6.907914
