label,x,y
wc0,-1.69408,-22.09339
wc0,-1.8285145,-23.239632
wc0,-1.5280572,-21.60466
wc0,-3.2831137,-22.11596
wc0,-2.3697326,-23.385094
wc0,-2.1605766,-23.699202
wc0,-2.9822953,-20.908976
wc0,-0.2015966,-23.480196
wc0,-3.1606858,-20.734142
wc0,-2.7963414,-23.995634
wc0,-0.8248894,-24.111998
wc0,-2.8564775,-24.082045
wc0,-4.674483,-21.72219
wc0,-2.8251553,-20.418491
wc0,0.9313932,-22.02687
wc0,0.9969157,-23.239147
wc0,1.0322268,-23.262775
wc0,-1.3534092,-24.632805
wc0,-3.2505553,-24.406458
wc0,-3.5314186,-20.064821
wc0,-5.270071,-21.047579
wc0,-4.1510367,-24.107534
wc0,0.32921937,-24.480795
wc0,-1.8738228,-19.720465
wc0,2.0450358,-22.584621
wc0,-5.326137,-20.489313
wc0,1.8233365,-23.645325
wc0,-2.3035216,-25.171326
wc0,0.8481738,-20.436367
wc0,1.8083107,-24.068514
wc0,1.8085033,-24.254723
wc0,0.3836981,-25.121195
wc0,2.3333623,-21.55476
wc0,-6.0781083,-20.209026
wc0,-6.1000547,-23.619448
wc0,-6.399334,-20.397566
wc0,3.0354114,-22.888775
wc0,2.835964,-21.422543
wc0,3.1157217,-22.050922
wc0,-5.351817,-24.632393
wc0,2.850266,-23.843166
wc0,-7.0112514,-22.566385
wc0,1.615768,-25.156843
wc0,-5.291648,-19.187092
wc0,-6.8991284,-22.988585
wc0,3.2260966,-23.476234
wc0,2.6905682,-20.771458
wc0,2.0232189,-20.141842
wc0,-2.901702,-25.945135
wc0,-5.953649,-19.160984
wc0,3.660242,-22.549864
wc0,-6.2550306,-24.532078
wc0,3.5626538,-21.363062
wc0,3.554845,-21.267334
wc0,-4.26853,-18.327116
wc0,-7.0427637,-19.562265
wc0,-8.059403,-21.694738
wc0,-1.7251823,-26.6161
wc0,3.9586334,-23.836521
wc0,-8.23676,-21.965782
wc0,-5.976163,-18.442978
wc0,3.9044654,-24.31474
wc0,1.4865956,-26.29021
wc0,-8.303693,-20.804138
wc0,-7.8799653,-19.805569
wc0,2.3152544,-25.979784
wc0,4.521143,-22.983168
wc0,-7.2415905,-18.92841
wc0,3.1938062,-25.666166
wc0,-8.184715,-23.828182
wc0,4.9093823,-21.510906
wc0,4.1804156,-20.178844
wc0,-1.9445335,-27.347567
wc0,3.4706225,-25.735632
wc0,-3.7750883,-17.278877
wc0,4.933025,-21.314735
wc0,4.9016776,-21.18536
wc0,-7.3413415,-25.201756
wc0,-9.240477,-21.621376
wc0,5.0556283,-21.100382
wc0,-5.032854,-26.788609
wc0,4.571853,-20.227291
wc0,-2.9936008,-16.953533
wc0,-8.978322,-23.564716
wc0,5.151302,-24.232836
wc0,-8.89991,-23.964231
wc0,-5.2393723,-27.024351
wc0,-1.7842977,-27.861412
wc0,-7.25992,-17.730244
wc0,-9.110037,-19.311232
wc0,-3.9232862,-16.706026
wc0,-7.149146,-26.126297
wc0,5.8891096,-21.814932
wc0,5.972187,-22.539265
wc0,-6.803858,-17.29904
wc0,5.080616,-19.869228
